OrganizationCategory, Avg
Accounting,60143.49542
Agriculture/Environment,37443.78341
Corrections,26912.90514
Defense,24994.27433
Economic Development,46919.01246
Executive,28045.46657
Government Administration,45193.61298
Higher Education,30009.86056
Judiciary/Courts,49423.91763
K-12 Education,34361.10113
Law enforcement,46180.63672
Legislature,24926.13806
Recreation,22100.7165
Regulatory agencies,35838.00406
Social Services,29187.44987
Transportation,31620.22816
Other,43279.08802
All,32884.5284
